"ap_payoff","av_payoff","block","category","condition","correct","counterbalance","dim0","dim1","dim2","dim3","fullinfo","imagenum","physdim0","physdim1","physdim2","physdim3","response","reward","score_post","score_pre","stimnum","swapdim0","swapdim1","swapdim2","swapdim3","test","trial","uniqueid","exclude"
1,0,0,1,"full_info","False",4,0,0,0,1,"True",10,1,3,0,2,0,0,0,0,8,1,1,0,1,"False",0,1,0
-5,0,0,0,"full_info","True",4,1,1,0,0,"True",4,1,3,0,2,0,0,0,0,3,1,1,0,1,"False",1,1,0
1,0,0,1,"full_info","True",4,0,1,0,1,"True",2,1,3,0,2,1,1,1,0,10,1,1,0,1,"False",2,1,0
1,0,0,1,"full_info","True",4,0,0,1,1,"True",11,1,3,0,2,1,1,2,1,12,1,1,0,1,"False",3,1,0
1,0,0,1,"full_info","True",4,0,1,0,1,"True",2,1,3,0,2,1,1,3,2,10,1,1,0,1,"False",4,1,0
1,0,0,1,"full_info","False",4,1,0,1,0,"True",13,1,3,0,2,0,0,3,3,5,1,1,0,1,"False",5,1,0
1,0,0,1,"full_info","True",4,0,0,0,1,"True",10,1,3,0,2,1,1,4,3,8,1,1,0,1,"False",6,1,0
-5,0,0,0,"full_info","True",4,1,1,0,0,"True",4,1,3,0,2,0,0,4,4,3,1,1,0,1,"False",7,1,0
-5,0,0,0,"full_info","True",4,0,0,0,0,"True",14,1,3,0,2,0,0,4,4,0,1,1,0,1,"False",8,1,0
1,0,0,1,"full_info","False",4,1,1,1,0,"True",5,1,3,0,2,0,0,4,4,7,1,1,0,1,"False",9,1,0
1,0,0,1,"full_info","False",4,1,1,1,0,"True",5,1,3,0,2,0,0,4,4,7,1,1,0,1,"False",10,1,0
1,0,0,1,"full_info","False",4,0,1,1,0,"True",7,1,3,0,2,0,0,4,4,6,1,1,0,1,"False",11,1,0
1,0,0,1,"full_info","True",4,1,0,0,1,"True",8,1,3,0,2,1,1,5,4,9,1,1,0,1,"False",12,1,0
1,0,0,1,"full_info","True",4,1,1,0,1,"True",0,1,3,0,2,1,1,6,5,11,1,1,0,1,"False",13,1,0
-5,0,0,0,"full_info","True",4,0,0,0,0,"True",14,1,3,0,2,0,0,6,6,0,1,1,0,1,"False",14,1,0
